Attribute,Importance,SE,Lower95,Upper95
Neto plača (razlika od trenutne plače),0.24895719582349635,0.020459900473495208,0.20746451766324805,0.2904498739837446
Bonus (letno nagrajevanje),0.10843126684810893,0.005442436708418742,0.09739400520343572,0.11946852849278214
Delo od doma/na daljavo (tedensko),0.21154965770103937,0.01885586665351464,0.17330996012771166,0.24978935527436708
Dopust,0.21828589239965632,0.011401414747988002,0.19516382329073664,0.241407961508576
Fleksibilni delavnik,0.0959993840692534,0.00813636830172727,0.07949882915335049,0.11249993898515631
Vlaganje v razvoj,0.0575612357394506,0.003856802701399617,0.04973963986101218,0.06538283161788902
Wellbeing in zdravje,0.05921536741899499,0.0041186105021267395,0.05086282532068196,0.06756790951730801
